Data;Tempo (us);Tempo (ms);Temperatura (°C)
22/12/2022 10:06:47;497631372;497631;22,7
22/12/2022 10:06:47;498131421;498131;22,7
22/12/2022 10:06:48;498631492;498631;22,7
22/12/2022 10:06:48;499131575;499131;22,7
22/12/2022 10:06:49;499631631;499631;23,0
22/12/2022 10:06:49;500131633;500131;23,0
22/12/2022 10:06:50;500631668;500631;23,0
22/12/2022 10:06:50;501131722;501131;23,0
22/12/2022 10:06:51;501631800;501631;23,0
22/12/2022 10:06:51;502131861;502131;22,7
22/12/2022 10:06:52;502631935;502631;23,0
22/12/2022 10:06:52;503132005;503132;23,0
22/12/2022 10:06:53;503632063;503632;22,7
22/12/2022 10:06:53;504132119;504132;23,0
22/12/2022 10:06:54;504632162;504632;23,0
22/12/2022 10:06:54;505132261;505132;23,0
22/12/2022 10:06:55;505632291;505632;23,0
22/12/2022 10:06:55;506132374;506132;23,0
22/12/2022 10:06:56;506632394;506632;23,0
22/12/2022 10:06:56;507132396;507132;23,0
22/12/2022 10:06:57;507632409;507632;23,0
22/12/2022 10:06:57;508132413;508132;23,0
22/12/2022 10:06:58;508632438;508632;23,0
22/12/2022 10:06:58;509132535;509132;23,0
22/12/2022 10:06:59;509632578;509632;23,0
22/12/2022 10:06:59;510132649;510132;23,0
22/12/2022 10:07:00;510632673;510632;23,0
22/12/2022 10:07:00;511132748;511132;23,0
22/12/2022 10:07:01;511632816;511632;23,0
22/12/2022 10:07:01;512132921;512132;23,0
22/12/2022 10:07:02;512633015;512633;23,0
22/12/2022 10:07:02;513133070;513133;23,0
22/12/2022 10:07:03;513633130;513633;23,0
22/12/2022 10:07:03;514133198;514133;23,0
22/12/2022 10:07:04;514633299;514633;23,0
22/12/2022 10:07:04;515133325;515133;23,0
22/12/2022 10:07:05;515633350;515633;23,0
22/12/2022 10:07:05;516133423;516133;23,0
